question,answer,context,result,is_correct,model_name,correct,prediction,error,temperature
What is the zip code in which the average mean sea level pressure is the lowest?,SELECT zip_code FROM weather GROUP BY zip_code ORDER BY AVG(mean_sea_level_pressure_inches) LIMIT 1,"CREATE TABLE weather (zip_code VARCHAR, mean_sea_level_pressure_inches INTEGER)",SELECT zip_code FROM weather ORDER BY mean_sea_level_pressure_inches ASC LIMIT 1,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"zip_code
   56789","zip_code
   56789",,0.0
What is the average longitude of stations that never had bike availability more than 10?,SELECT AVG(long) FROM station WHERE NOT id IN (SELECT station_id FROM status GROUP BY station_id HAVING MAX(bikes_available) > 10),"CREATE TABLE station (long INTEGER, id VARCHAR, station_id VARCHAR, bikes_available INTEGER); CREATE TABLE status (long INTEGER, id VARCHAR, station_id VARCHAR, bikes_available INTEGER)",SELECT AVG(station.long) FROM station WHERE station.id NOT IN (SELECT status.station_id FROM status GROUP BY status.station_id HAVING MAX(status.bikes_available) > 10),True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
  36.0","_col_0
  36.0",,0.0
On which day and in which zip code was the min dew point lower than any day in zip code 94107?,"SELECT date, zip_code FROM weather WHERE min_dew_point_f < (SELECT MIN(min_dew_point_f) FROM weather WHERE zip_code = 94107)","CREATE TABLE weather (date VARCHAR, zip_code VARCHAR, min_dew_point_f INTEGER)","SELECT date, zip_code FROM weather WHERE min_dew_point_f < (SELECT MIN(min_dew_point_f) FROM weather WHERE zip_code = '94107')",True,mistralai/Mixtral-8x7B-Instruct-v0.1,date zip_code,date zip_code,,0.0
"For each trip, return its ending station's installation date.","SELECT T1.id, T2.installation_date FROM trip AS T1 JOIN station AS T2 ON T1.end_station_id = T2.id","CREATE TABLE station (installation_date VARCHAR, id VARCHAR); CREATE TABLE trip (id VARCHAR, end_station_id VARCHAR)","SELECT trip.id, station.installation_date AS end_station_installation_date FROM trip JOIN station ON trip.end_station_id = station.id",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"id installation_date
10        2021-03-05
10        2021-01-15
10        2021-06-10
10        2020-11-30
10        2020-09-20","id end_station_installation_date
10                    2021-03-05
10                    2021-01-15
10                    2021-06-10
10                    2020-11-30
10                    2020-09-20",,0.0
Which trip started from the station with the largest dock count? Give me the trip id.,SELECT T1.id FROM trip AS T1 JOIN station AS T2 ON T1.start_station_id = T2.id ORDER BY T2.dock_count DESC LIMIT 1,"CREATE TABLE trip (id VARCHAR, start_station_id VARCHAR); CREATE TABLE station (id VARCHAR, dock_count VARCHAR)",SELECT trip.id FROM trip INNER JOIN station ON trip.start_station_id = station.id ORDER BY station.dock_count DESC LIMIT 1,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"id
 5","id
 5",,0.0
What are the ids of stations that have latitude above 37.4 and never had bike availability below 7?,SELECT id FROM station WHERE lat > 37.4 EXCEPT SELECT station_id FROM status GROUP BY station_id HAVING MIN(bikes_available) < 7,"CREATE TABLE status (id VARCHAR, station_id VARCHAR, lat INTEGER, bikes_available INTEGER); CREATE TABLE station (id VARCHAR, station_id VARCHAR, lat INTEGER, bikes_available INTEGER)",SELECT station_id AS ids FROM status WHERE lat > 37.4 AND NOT EXISTS (SELECT 1 FROM status WHERE station_id = status.station_id AND bikes_available < 7),False,mistralai/Mixtral-8x7B-Instruct-v0.1,"id
 1
 3
 5",,"Step 'Scan: status (5096362416)' failed: invalid syntax. Perhaps you forgot a comma? (GT(scope[""status""][""lat""], 37.4) and not EXISTS(SELECT 1 FROM ""status"" AS ""status"" WHERE LT(scope[""status""][""bikes_available""], 7) and EQ(scope[""status""][""station_id""], scope[""status""][""station_id""])), line 1)",0.0
"What are the name, latitude, and city of the station with the lowest latitude?","SELECT name, lat, city FROM station ORDER BY lat LIMIT 1","CREATE TABLE station (name VARCHAR, lat VARCHAR, city VARCHAR)","SELECT name, lat, city FROM station ORDER BY lat ASC LIMIT 1",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"name lat city
Stat 29. Hous","name lat city
Stat 29. Hous",,0.0
"What are the date, mean temperature and mean humidity for the top 3 days with the largest max gust speeds?","SELECT date, mean_temperature_f, mean_humidity FROM weather ORDER BY max_gust_speed_mph DESC LIMIT 3","CREATE TABLE weather (date VARCHAR, mean_temperature_f VARCHAR, mean_humidity VARCHAR, max_gust_speed_mph VARCHAR)","SELECT date, mean_temperature_f, mean_humidity 
FROM weather 
WHERE max_gust_speed_mph IN (
SELECT MAX(max_gust_speed_mph) 
FROM weather 
GROUP BY date 
ORDER BY MAX(max_gust_speed_mph) DESC 
LIMIT 3
)",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"date mean_temperature_f mean_humidity
2022                 70           80%
2022                 65           75%
2022                 60           70%",date mean_temperature_f mean_humidity,,0.0
List the name and the number of stations for all the cities that have at least 15 stations.,"SELECT city, COUNT(*) FROM station GROUP BY city HAVING COUNT(*) >= 15",CREATE TABLE station (city VARCHAR),"SELECT city, COUNT(*) as station_count FROM station GROUP BY city HAVING station_count >= 15",False,mistralai/Mixtral-8x7B-Instruct-v0.1,city _col_1,city station_count,,0.0
Find the ids and names of stations from which at least 200 trips started.,"SELECT start_station_id, start_station_name FROM trip GROUP BY start_station_name HAVING COUNT(*) >= 200","CREATE TABLE trip (start_station_id VARCHAR, start_station_name VARCHAR)","SELECT start_station_id, start_station_name FROM (SELECT start_station_id, start_station_name, COUNT(*) as trip_count FROM trip GROUP BY start_station_id, start_station_name) as subquery WHERE subquery.trip_count >= 200",True,mistralai/Mixtral-8x7B-Instruct-v0.1,start_station_id start_station_name,start_station_id start_station_name,,0.0
Find the zip code in which the average mean visibility is lower than 10.,SELECT zip_code FROM weather GROUP BY zip_code HAVING AVG(mean_visibility_miles) < 10,"CREATE TABLE weather (zip_code VARCHAR, mean_visibility_miles INTEGER)",SELECT zip_code FROM weather WHERE mean_visibility_miles < 10;,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"zip_code
   12345
   34567
   56789","zip_code
   12345
   34567
   56789",,0.0
List all the cities in a decreasing order of each city's stations' highest latitude.,SELECT city FROM station GROUP BY city ORDER BY MAX(lat) DESC,"CREATE TABLE station (city VARCHAR, lat INTEGER)","SELECT city, MAX(lat) as max_lat FROM station GROUP BY city ORDER BY max_lat DESC;",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"city
Chic
New 
Los 
Phoe
Hous","city max_lat
Chic      41
New       40
Los       34
Phoe      33
Hous      29",,0.0
What are the dates that had the top 5 cloud cover rates? Also tell me the cloud cover rate.,"SELECT date, cloud_cover FROM weather ORDER BY cloud_cover DESC LIMIT 5","CREATE TABLE weather (date VARCHAR, cloud_cover VARCHAR)","SELECT date, cloud_cover FROM weather ORDER BY cloud_cover DESC LIMIT 5",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"date cloud_cover
2022         90%
2022         85%
2022         80%
2022         75%
2022         70%","date cloud_cover
2022         90%
2022         85%
2022         80%
2022         75%
2022         70%",,0.0
What are the ids and durations of the trips with the top 3 durations?,"SELECT id, duration FROM trip ORDER BY duration DESC LIMIT 3","CREATE TABLE trip (id VARCHAR, duration VARCHAR)","SELECT id, duration FROM trip ORDER BY CAST(duration AS INT) DESC LIMIT 3",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"id duration
 2       90
 5       75
 1       60","id duration
 3      120
 2       90
 5       75",,0.0
List all the distinct stations from which a trip of duration below 100 started.,SELECT DISTINCT start_station_name FROM trip WHERE duration < 100,"CREATE TABLE trip (start_station_name VARCHAR, duration INTEGER)",SELECT DISTINCT start_station_name FROM trip WHERE duration < 100,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"start_station_name
         Station A
         Station B
         Station C
         Station D","start_station_name
         Station A
         Station B
         Station C
         Station D",,0.0
Find the id for the trips that lasted at least as long as the average duration of trips in zip code 94103.,SELECT id FROM trip WHERE duration >= (SELECT AVG(duration) FROM trip WHERE zip_code = 94103),"CREATE TABLE trip (id VARCHAR, duration INTEGER, zip_code VARCHAR)",SELECT id FROM trip WHERE duration >= (SELECT AVG(duration) FROM trip WHERE zip_code = '94103'),False,mistralai/Mixtral-8x7B-Instruct-v0.1,id,"id
 2
 4
 5",,0.0
What are the dates in which the mean sea level pressure was between 30.3 and 31?,SELECT date FROM weather WHERE mean_sea_level_pressure_inches BETWEEN 30.3 AND 31,"CREATE TABLE weather (date VARCHAR, mean_sea_level_pressure_inches INTEGER)",SELECT date FROM weather WHERE mean_sea_level_pressure_inches BETWEEN 303 AND 3100,False,mistralai/Mixtral-8x7B-Instruct-v0.1,"date
2022
2022
2022",date,,0.0
What are the id and name of the stations that have ever had more than 12 bikes available?,"SELECT DISTINCT T1.id, T1.name FROM station AS T1 JOIN status AS T2 ON T1.id = T2.station_id WHERE T2.bikes_available > 12","CREATE TABLE station (id VARCHAR, name VARCHAR); CREATE TABLE status (station_id VARCHAR, bikes_available INTEGER)","SELECT s.id, s.name FROM station s JOIN status st ON s.id = st.station_id WHERE st.bikes_available > 12 GROUP BY s.id, s.name HAVING COUNT(*) > 1",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"id name
 1 Stat
 3 Stat
 5 Stat",id name,,0.0
Give me the zip code where the average mean humidity is below 70 and at least 100 trips took place.,SELECT zip_code FROM weather GROUP BY zip_code HAVING AVG(mean_humidity) < 70 INTERSECT SELECT zip_code FROM trip GROUP BY zip_code HAVING COUNT(*) >= 100,"CREATE TABLE weather (zip_code VARCHAR, mean_humidity INTEGER); CREATE TABLE trip (zip_code VARCHAR, mean_humidity INTEGER)",SELECT w.zip_code FROM weather w WHERE w.mean_humidity < 70 GROUP BY w.zip_code HAVING COUNT(*) >= 100,True,mistralai/Mixtral-8x7B-Instruct-v0.1,zip_code,zip_code,,0.0
What is the average latitude and longitude of the starting points of all trips?,"SELECT AVG(T1.lat), AVG(T1.long) FROM station AS T1 JOIN trip AS T2 ON T1.id = T2.start_station_id","CREATE TABLE trip (start_station_id VARCHAR); CREATE TABLE station (lat INTEGER, long INTEGER, id VARCHAR)","SELECT AVG(station.lat) AS avg_latitude, AVG(station.long) AS avg_longitude FROM trip JOIN station ON trip.start_station_id = station.id",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0 _col_1
  42.0  -72.0","avg_latitude avg_longitude
        42.0         -72.0",,0.0
How many books are there?,SELECT COUNT(*) FROM book,CREATE TABLE book (Id VARCHAR),SELECT COUNT(*) FROM book,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
     5","_col_0
     5",,0.0
List the writers of the books in ascending alphabetical order.,SELECT Writer FROM book ORDER BY Writer,CREATE TABLE book (Writer VARCHAR),SELECT Writer FROM book ORDER BY Writer ASC,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"writer
Author
Author
Author
Author
Author","writer
Author
Author
Author
Author
Author",,0.0
List the titles of the books in ascending order of issues.,SELECT Title FROM book ORDER BY Issues,"CREATE TABLE book (Title VARCHAR, Issues VARCHAR)","SELECT Title, Issues FROM book ORDER BY Issues ASC",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"title
Book 
Book 
Book 
Book 
Book ","title issues
Book       1
Book       2
Book       3
Book       4
Book       5",,0.0
What are the title and issues of the books?,"SELECT Title, Issues FROM book","CREATE TABLE book (Title VARCHAR, Issues VARCHAR)","SELECT Title, Issues FROM book",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"title issues
The G     10
To Ki      5
 1984      8
Pride      3
The C      6","title issues
The G     10
To Ki      5
 1984      8
Pride      3
The C      6",,0.0
What are the dates of publications in descending order of price?,SELECT Publication_Date FROM publication ORDER BY Price DESC,"CREATE TABLE publication (Publication_Date VARCHAR, Price VARCHAR)",SELECT Publication_Date FROM publication ORDER BY Price DESC;,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"publication_date
      2022-05-20
      2022-04-05
      2022-03-10
      2022-02-15
      2022-01-01","publication_date
      2022-05-20
      2022-04-05
      2022-03-10
      2022-02-15
      2022-01-01",,0.0
What are the distinct publishers of publications with price higher than 5000000?,SELECT DISTINCT Publisher FROM publication WHERE Price > 5000000,"CREATE TABLE publication (Publisher VARCHAR, Price INTEGER)",SELECT DISTINCT Publisher FROM publication WHERE Price > 5000000,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"publisher
Publisher
Publisher
Publisher
Publisher
Publisher","publisher
Publisher
Publisher
Publisher
Publisher
Publisher",,0.0
List the publisher of the publication with the highest price.,SELECT Publisher FROM publication ORDER BY Price DESC LIMIT 1,"CREATE TABLE publication (Publisher VARCHAR, Price VARCHAR)",SELECT Publisher FROM publication WHERE Price = (SELECT MAX(Price) FROM publication),True,mistralai/Mixtral-8x7B-Instruct-v0.1,"publisher
Publisher","publisher
Publisher",,0.0
List the publication dates of publications with 3 lowest prices.,SELECT Publication_Date FROM publication ORDER BY Price LIMIT 3,"CREATE TABLE publication (Publication_Date VARCHAR, Price VARCHAR)","SELECT Publication_Date FROM (SELECT Publication_Date, CAST(Price AS DECIMAL(10, 2)) AS Price FROM publication) AS converted_prices ORDER BY Price LIMIT 3",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"publication_date
      2022-01-01
      2022-02-01
      2022-05-01",,Step 'Sort: publication (5096265600)' failed: 'Type' object is not callable,0.0
Show the title and publication dates of books.,"SELECT T1.Title, T2.Publication_Date FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID","CREATE TABLE book (Title VARCHAR, Book_ID VARCHAR); CREATE TABLE publication (Publication_Date VARCHAR, Book_ID VARCHAR)","SELECT book.Title, publication.Publication_Date FROM book INNER JOIN publication ON book.Book_ID = publication.Book_ID",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"title publication_date
The G       2021-05-15
To Ki       2020-11-30
 1984       2019-08-20
Pride       2018-03-10
The C       2017-09-25","title publication_date
The G       2021-05-15
To Ki       2020-11-30
 1984       2019-08-20
Pride       2018-03-10
The C       2017-09-25",,0.0
Show writers who have published a book with price more than 4000000.,SELECT T1.Writer FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID WHERE T2.Price > 4000000,"CREATE TABLE publication (Book_ID VARCHAR, Price INTEGER); CREATE TABLE book (Writer VARCHAR, Book_ID VARCHAR)",SELECT book.Writer FROM book INNER JOIN publication ON book.Book_ID = publication.Book_ID AND publication.Price > 4000000 GROUP BY book.Writer,False,mistralai/Mixtral-8x7B-Instruct-v0.1,"writer
John D
Jane S
Alice 
Eve Wh","writer
Alice 
Eve Wh
Jane S
John D",,0.0
Show the titles of books in descending order of publication price.,SELECT T1.Title FROM book AS T1 JOIN publication AS T2 ON T1.Book_ID = T2.Book_ID ORDER BY T2.Price DESC,"CREATE TABLE publication (Book_ID VARCHAR, Price VARCHAR); CREATE TABLE book (Title VARCHAR, Book_ID VARCHAR)","SELECT book.Title FROM book INNER JOIN publication ON book.Book_ID = publication.Book_ID ORDER BY CAST(publication.Price AS DECIMAL(10,2)) DESC",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"title
Book 
Book 
Book 
Book 
Book ",,Step 'Sort: book (5096372064)' failed: 'Type' object is not callable,0.0
Show publishers that have more than one publication.,SELECT Publisher FROM publication GROUP BY Publisher HAVING COUNT(*) > 1,CREATE TABLE publication (Publisher VARCHAR),SELECT Publisher FROM publication GROUP BY Publisher HAVING COUNT(*) > 1;,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"publisher
Publisher
Publisher","publisher
Publisher
Publisher",,0.0
Show different publishers together with the number of publications they have.,"SELECT Publisher, COUNT(*) FROM publication GROUP BY Publisher",CREATE TABLE publication (Publisher VARCHAR),"SELECT Publisher, COUNT(*) as NumPublications FROM publication GROUP BY Publisher",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"publisher _col_1
Publisher      1
Publisher      1
Publisher      1
Publisher      1
Publisher      1","publisher numpublications
Publisher               1
Publisher               1
Publisher               1
Publisher               1
Publisher               1",,0.0
Please show the most common publication date.,SELECT Publication_Date FROM publication GROUP BY Publication_Date ORDER BY COUNT(*) DESC LIMIT 1,CREATE TABLE publication (Publication_Date VARCHAR),SELECT Publication_Date as most_common_date FROM publication GROUP BY Publication_Date ORDER BY COUNT(*) DESC LIMIT 1,False,mistralai/Mixtral-8x7B-Instruct-v0.1,"publication_date
      2022-01-01","most_common_date
      2022-01-01",,0.0
List the writers who have written more than one book.,SELECT Writer FROM book GROUP BY Writer HAVING COUNT(*) > 1,CREATE TABLE book (Writer VARCHAR),SELECT Writer FROM book GROUP BY Writer HAVING COUNT(*) > 1;,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"writer
John D","writer
John D",,0.0
List the titles of books that are not published.,SELECT Title FROM book WHERE NOT Book_ID IN (SELECT Book_ID FROM publication),"CREATE TABLE book (Title VARCHAR, Book_ID VARCHAR); CREATE TABLE publication (Title VARCHAR, Book_ID VARCHAR)",SELECT Title FROM book WHERE Book_ID NOT IN (SELECT Book_ID FROM publication),True,mistralai/Mixtral-8x7B-Instruct-v0.1,"title
The G
To Ki
 1984
Pride
The C","title
The G
To Ki
 1984
Pride
The C",,0.0
Show the publishers that have publications with price higher than 10000000 and publications with price lower than 5000000.,SELECT Publisher FROM publication WHERE Price > 10000000 INTERSECT SELECT Publisher FROM publication WHERE Price < 5000000,"CREATE TABLE publication (Publisher VARCHAR, Price INTEGER)",SELECT Publisher FROM publication WHERE Price > 10000000 OR Price < 5000000,False,mistralai/Mixtral-8x7B-Instruct-v0.1,"publisher
Publisher","publisher
Publisher
Publisher
Publisher",,0.0
How many actors are there?,SELECT COUNT(*) FROM actor,CREATE TABLE actor (Id VARCHAR),SELECT COUNT(*) FROM actor,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
     5","_col_0
     5",,0.0
List the name of actors in ascending alphabetical order.,SELECT Name FROM actor ORDER BY Name,CREATE TABLE actor (Name VARCHAR),SELECT Name FROM actor ORDER BY Name ASC,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"name
Alic
 Bob
Char
Davi
 Eve","name
Alic
 Bob
Char
Davi
 Eve",,0.0
What are the characters and duration of actors?,"SELECT Character, Duration FROM actor","CREATE TABLE actor (Character VARCHAR, Duration VARCHAR)","SELECT Character, Duration FROM actor",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"character duration
 John Doe  2 hours
Jane Smit 1.5 hour
Alice Joh  3 hours
Bob Brown 2.5 hour
Emily Dav  2 hours","character duration
 John Doe  2 hours
Jane Smit 1.5 hour
Alice Joh  3 hours
Bob Brown 2.5 hour
Emily Dav  2 hours",,0.0
List the name of actors whose age is not 20.,SELECT Name FROM actor WHERE Age <> 20,"CREATE TABLE actor (Name VARCHAR, Age VARCHAR)",SELECT Name FROM actor WHERE Age != '20';,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"name
John
Emil
Mich
Sara
Davi","name
John
Emil
Mich
Sara
Davi",,0.0
What are the characters of actors in descending order of age?,SELECT Character FROM actor ORDER BY age DESC,"CREATE TABLE actor (Character VARCHAR, age VARCHAR)","SELECT Character, age FROM actor ORDER BY age DESC",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"character
     John
    Alice
      Bob
    Sarah
     Mike","character age
     John  40
    Alice  35
      Bob  30
    Sarah  25
     Mike  20",,0.0
What is the duration of the oldest actor?,SELECT Duration FROM actor ORDER BY Age DESC LIMIT 1,"CREATE TABLE actor (Duration VARCHAR, Age VARCHAR)",SELECT MIN(Duration) FROM actor,False,mistralai/Mixtral-8x7B-Instruct-v0.1,"duration
 5 years","_col_0
1 year",,0.0
Show names of actors and names of musicals they are in.,"SELECT T1.Name, T2.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID = T2.Musical_ID","CREATE TABLE actor (Name VARCHAR, Musical_ID VARCHAR); CREATE TABLE musical (Name VARCHAR, Musical_ID VARCHAR)","SELECT a.Name AS Actor, m.Name AS Musical FROM actor a JOIN musical m ON a.Musical_ID = m.Musical_ID",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"name name
Les  Les 
Les  Les 
The  The 
Hami Hami
Cats Cats","actor musical
John  Les Mis
Sarah Les Mis
Jane  The Pha
Micha Hamilto
David    Cats",,0.0
Show names of actors in descending order of the year their musical is awarded.,SELECT T1.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID = T2.Musical_ID ORDER BY T2.Year DESC,"CREATE TABLE musical (Musical_ID VARCHAR, Year VARCHAR); CREATE TABLE actor (Name VARCHAR, Musical_ID VARCHAR)","SELECT actor.Name 
FROM actor 
JOIN musical ON actor.Musical_ID = musical.Musical_ID 
ORDER BY musical.Year DESC;",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"name
Robe
Jane
Mich
Sara
John","name
Robe
Jane
Mich
Sara
John",,0.0
Show names of musicals which have at least three actors.,SELECT T2.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID = T2.Musical_ID GROUP BY T1.Musical_ID HAVING COUNT(*) >= 3,"CREATE TABLE actor (Musical_ID VARCHAR); CREATE TABLE musical (Name VARCHAR, Musical_ID VARCHAR)",SELECT musical.Name FROM musical INNER JOIN actor ON musical.Musical_ID = actor.Musical_ID GROUP BY musical.Name HAVING COUNT(*) >= 3,True,mistralai/Mixtral-8x7B-Instruct-v0.1,name,name,,0.0
Show different nominees and the number of musicals they have been nominated.,"SELECT Nominee, COUNT(*) FROM musical GROUP BY Nominee",CREATE TABLE musical (Nominee VARCHAR),"SELECT Nominee, COUNT(*) as Num_Nominations 
FROM musical 
GROUP BY Nominee;",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"nominee _col_1
Alice J      1
Bob Bro      1
Jane Sm      1
John Do      1
Sarah L      1","nominee num_nominations
Alice J               1
Bob Bro               1
Jane Sm               1
John Do               1
Sarah L               1",,0.0
Please show the nominee who has been nominated the greatest number of times.,SELECT Nominee FROM musical GROUP BY Nominee ORDER BY COUNT(*) DESC LIMIT 1,CREATE TABLE musical (Nominee VARCHAR),"SELECT Nominee, COUNT(Nominee) as nomination_count FROM musical GROUP BY Nominee ORDER BY nomination_count DESC LIMIT 1",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"nominee
Alice J","nominee nomination_count
Alice J                1",,0.0
List the most common result of the musicals.,SELECT RESULT FROM musical GROUP BY RESULT ORDER BY COUNT(*) DESC LIMIT 1,CREATE TABLE musical (RESULT VARCHAR),"SELECT RESULT, COUNT(*) as count FROM musical GROUP BY RESULT ORDER BY count DESC LIMIT 1",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"result
Succes","result count
Succes     3",,0.0
List the name of musicals that do not have actors.,SELECT Name FROM musical WHERE NOT Musical_ID IN (SELECT Musical_ID FROM actor),"CREATE TABLE actor (Name VARCHAR, Musical_ID VARCHAR); CREATE TABLE musical (Name VARCHAR, Musical_ID VARCHAR)",SELECT musical.Name FROM musical LEFT JOIN actor ON musical.Musical_ID = actor.Musical_ID WHERE actor.Name IS NULL;,False,mistralai/Mixtral-8x7B-Instruct-v0.1,"name
Hami
Les 
Phan
Wick
Rent",name,,0.0
"Find the emails of the user named ""Mary"".",SELECT email FROM user_profiles WHERE name = 'Mary',"CREATE TABLE user_profiles (email VARCHAR, name VARCHAR)",SELECT email FROM user_profiles WHERE name = 'Mary',True,mistralai/Mixtral-8x7B-Instruct-v0.1,"email
mary@","email
mary@",,0.0
"What is the partition id of the user named ""Iron Man"".",SELECT partitionid FROM user_profiles WHERE name = 'Iron Man',"CREATE TABLE user_profiles (partitionid VARCHAR, name VARCHAR)",SELECT partitionid FROM user_profiles WHERE name = 'Iron Man',True,mistralai/Mixtral-8x7B-Instruct-v0.1,"partitionid
        001","partitionid
        001",,0.0
How many users are there?,SELECT COUNT(*) FROM user_profiles,CREATE TABLE user_profiles (Id VARCHAR),SELECT COUNT(*) FROM user_profiles,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
     5","_col_0
     5",,0.0
How many followers does each user have?,SELECT COUNT(*) FROM follows,CREATE TABLE follows (Id VARCHAR),"SELECT user, COUNT(follower) as followers FROM (SELECT follows.Id as follower, (SELECT Id FROM follows WHERE Id = follows.Id AND Id != follower.Id) as user FROM follows follower GROUP BY follower.Id) grouped_follows GROUP BY user",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
     5",,Column 'follows.id' could not be resolved for table: 'follows',0.0
Find the number of followers for each user.,SELECT COUNT(*) FROM follows GROUP BY f1,CREATE TABLE follows (f1 VARCHAR),"SELECT f1 AS user, COUNT(*) AS followers FROM follows GROUP BY f1",False,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
     1
     1
     1
     1
     1","user followers
user         1
user         1
user         1
user         1
user         1",,0.0
Find the number of tweets in record.,SELECT COUNT(*) FROM tweets,CREATE TABLE tweets (Id VARCHAR),SELECT COUNT(*) FROM tweets,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
     5","_col_0
     5",,0.0
Find the number of users who posted some tweets.,SELECT COUNT(DISTINCT UID) FROM tweets,CREATE TABLE tweets (UID VARCHAR),SELECT COUNT(DISTINCT UID) FROM tweets,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"_col_0
     5","_col_0
     5",,0.0
Find the name and email of the user whose name contains the word ‘Swift’.,"SELECT name, email FROM user_profiles WHERE name LIKE '%Swift%'","CREATE TABLE user_profiles (name VARCHAR, email VARCHAR)","SELECT name, email FROM user_profiles WHERE name LIKE '%Swift%';",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"name email
Tayl taylo
Jane jane.
Mich micha","name email
Tayl taylo
Jane jane.
Mich micha",,0.0
Find the names of users whose emails contain ‘superstar’ or ‘edu’.,SELECT name FROM user_profiles WHERE email LIKE '%superstar%' OR email LIKE '%edu%',"CREATE TABLE user_profiles (name VARCHAR, email VARCHAR)",SELECT name FROM user_profiles WHERE email LIKE '%superstar%' OR email LIKE '%edu%';,True,mistralai/Mixtral-8x7B-Instruct-v0.1,"name
Jane
Alic
Sara","name
Jane
Alic
Sara",,0.0
Return the text of tweets about the topic 'intern'.,SELECT text FROM tweets WHERE text LIKE '%intern%',CREATE TABLE tweets (text VARCHAR),SELECT text FROM tweets WHERE text LIKE '%intern%',True,mistralai/Mixtral-8x7B-Instruct-v0.1,"text
Just
Look
Exci","text
Just
Look
Exci",,0.0
Find the name and email of the users who have more than 1000 followers.,"SELECT name, email FROM user_profiles WHERE followers > 1000","CREATE TABLE user_profiles (name VARCHAR, email VARCHAR, followers INTEGER)","SELECT name, email FROM user_profiles WHERE followers > 1000",True,mistralai/Mixtral-8x7B-Instruct-v0.1,"name email
John johnd
Jane janes
Bob  bobbr","name email
John johnd
Jane janes
Bob  bobbr",,0.0
Find the name and email for the users who have more than one follower.,"SELECT T1.name, T1.email FROM user_profiles AS T1 JOIN follows AS T2 ON T1.uid = T2.f1 GROUP BY T2.f1 HAVING COUNT(*) > 1","CREATE TABLE follows (f1 VARCHAR); CREATE TABLE user_profiles (name VARCHAR, email VARCHAR, uid VARCHAR)","SELECT name, email FROM user_profiles WHERE uid IN (SELECT f1 FROM follows GROUP BY f1 HAVING COUNT(DISTINCT f1) > 1)",True,mistralai/Mixtral-8x7B-Instruct-v0.1,name email,name email,,0.0
Find the names of users who have more than one tweet.,SELECT T1.name FROM user_profiles AS T1 JOIN tweets AS T2 ON T1.uid = T2.uid GROUP BY T2.uid HAVING COUNT(*) > 1,"CREATE TABLE tweets (uid VARCHAR); CREATE TABLE user_profiles (name VARCHAR, uid VARCHAR)",SELECT user_profiles.name FROM user_profiles INNER JOIN tweets ON user_profiles.uid = tweets.uid GROUP BY user_profiles.name HAVING COUNT(*) > 1,True,mistralai/Mixtral-8x7B-Instruct-v0.1,name,name,,0.0
